position,batsman_name,batsman_id,how_out,fielder_name,fielder_id,bowler_name,bowler_id,runs,fours,sixes,balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,not_out,initial_name
5,Callum Wilson,5497375,b,,,Thomas Broughton,6595168,124,18,3,88,Ley Hill CC - 1st XI,54824,Ickleford CC - 2nd XI,58647,1,6803474,0.0,C Wilson
2,Yusuf Khan,4940735,b,,,Mark Schumann,15786,118,15,3,94,Ley Hill CC - 1st XI,54824,Ickleford CC - 2nd XI,58647,1,6803474,0.0,Y Khan
2,James Lagdon,4576697,b,,,Shiras Mohamed Mohamed Munas,5103391,105,14,1,114,Ley Hill CC - 2nd XI,119465,West Herts CC - 6th XI,302557,2,6804671,0.0,J Lagdon
1,Edward Pike,6676091,retired not out,,,,,102,14,4,55,Ley Hill CC - Sunday 1st XI,216373,Chesham Bois CC - Friendly XI,39794,1,7074453,1.0,E Pike
2,Yusuf Khan,4940735,ct,Oliver Andrews,451346,Ciaran Woodcock,5029510,95,15,3,68,Ley Hill CC - 1st XI,54824,Shenley Village CC - 3rd XI,66192,1,6803489,0.0,Y Khan
6,Mohamed Shakir Badurdeen,5378398,not out,,,,,91,9,5,65,West Herts CC - 6th XI,302557,Ley Hill CC - 2nd XI,119465,1,6804671,1.0,MS Badurdeen
3,Rishy M,5340615,ct,J O'Brien,,Vaibhav X,,90,12,2,84,Ley Hill CC - Sunday 1st XI,216373,Chesham Bois CC - Friendly XI,39794,1,7074453,0.0,R M
4,Rishy M,5340615,ct,Ted Sussum,4951412,Alex Jackson,6057697,75,12,3,48,Soho Cricket Collective - Friendly XI,207493,Ley Hill CC - Sunday 1st XI,216373,2,7074449,0.0,R M
4,Rob Leybourne,5363547,b,,,Unsure,,66,0,0,0,Ley Hill CC - 1st XI,54824,Shenley Village CC - 3rd XI,66192,1,6803489,0.0,R Leybourne
5,Ted Sussum,4951412,ct,J O'Brien,,Imran X,,59,7,1,35,Ley Hill CC - Sunday 1st XI,216373,Chesham Bois CC - Friendly XI,39794,1,7074453,0.0,T Sussum
6,Rishy M,5340615,not out,,,,,54,9,0,34,Ley Hill CC - Sunday 1st XI,216373,Goodwill Wanderers CC - Friendly XI,192284,1,7074455,1.0,R M
5,Raheel Khan,5402781,not out,,,,,53,5,1,52,Ley Hill CC - Sunday 1st XI,216373,Chelsea Nomads CC - 1st XI,196012,1,7074454,1.0,R Khan
1,Jon Lown,5902299,ct,K Malik,,J Todd,,52,6,1,78,Ley Hill CC - Sunday 1st XI,216373,Soho Cricket Collective - Friendly XI,207493,1,7074449,0.0,J Lown
3,Ganesh Jambulingam,6262102,not out,,,,,51,0,0,0,"Northwood Town CC, Middlesex - 4th XI",277347,Ley Hill CC - 2nd XI,119465,2,6804656,1.0,G Jambulingam
3,Henry Sussum,4981247,retired not out,,,,,50,8,1,34,Ley Hill CC - Sunday 1st XI,216373,Goodwill Wanderers CC - Friendly XI,192284,1,7074455,1.0,H Sussum
5,Adam Ross,5442945,b,,,Jack Thompson,1790577,48,8,1,39,Ickleford CC - 2nd XI,58647,Ley Hill CC - 1st XI,54824,2,6803474,0.0,A Ross
2,Geoffrey Sussum,4951380,st,K Malik,,Dan March,4733831,48,6,2,60,Ley Hill CC - Sunday 1st XI,216373,Soho Cricket Collective - Friendly XI,207493,1,7074449,0.0,G Sussum
5,Rob Leybourne,5363547,not out,,,,,48,6,0,75,Ley Hill CC - 1st XI,54824,Flitwick CC - 3rd XI,20669,2,6803476,1.0,R Leybourne
4,Wayne Davies,4446838,b,,,A Ameer,6373509,45,8,0,45,Ley Hill CC - Sunday 1st XI,216373,Goodwill Wanderers CC - Friendly XI,192284,1,7074455,0.0,W Davies
5,Justin X,,not out,,,,,45,9,0,67,Chesham Bois CC - Friendly XI,39794,Ley Hill CC - Sunday 1st XI,216373,2,7074453,1.0,J X
7,Jack Thompson,1790577,st,Adam Ross,5442945,Harry Chan,5190613,44,4,3,21,Ley Hill CC - 1st XI,54824,Ickleford CC - 2nd XI,58647,1,6803474,0.0,J Thompson
