bowler_name,bowler_id,overs,maidens,runs,wides,wickets,no_balls,team_name,team_id,opposition_name,opposition_id,innings,match_id,initial_name,balls,0
Scott Peterson,5483704,9,0.0,0.0,0.0,5,0.0,Ley Hill CC - 1st XI,54824.0,Shenley Village CC - 3rd XI,66192.0,2.0,6803489,S Peterson,54.0,
Craig Ottaway,5499462,10,0.0,0.0,0.0,4,0.0,Ley Hill CC - 1st XI,54824.0,Shenley Village CC - 3rd XI,66192.0,2.0,6803489,C Ottaway,60.0,
Joe Foster,6010486,3,1.0,8.0,0.0,4,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Goodwill Wanderers CC - Friendly XI,192284.0,2.0,7074455,J Foster,18.0,
Jamie Valentine,4524064,8,3.0,18.0,2.0,4,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Chesham Bois CC - Friendly XI,39794.0,2.0,7074453,J Valentine,48.0,
Scott Peterson,5483704,8.0,0.0,25.0,1.0,4,1.0,Ley Hill CC - 1st XI,54824.0,Flitwick CC - 3rd XI,20669.0,1.0,6803476,S Peterson,48.0,
Jonny Carpenter,5516200,9,0.0,25.0,3.0,4,0.0,Ley Hill CC - 1st XI,54824.0,Watton-at-Stone CC - 1st XI,159131.0,2.0,6803484,J Carpenter,54.0,
Jamie Valentine,4524064,5,0.0,29.0,2.0,4,1.0,Ley Hill CC - 2nd XI,119465.0,Berkhamsted CC - Saturday 4th XI,76555.0,1.0,6804661,J Valentine,30.0,
Edward Pike,6676091,8.3,0.0,33.0,1.0,4,1.0,Ley Hill CC - Sunday 1st XI,216373.0,Chelsea Nomads CC - 1st XI,196012.0,2.0,7074454,E Pike,51.0,
Ted Sussum,4951412,9,2.0,34.0,15.0,4,0.0,Ley Hill CC - 1st XI,54824.0,Watton-at-Stone CC - 1st XI,159131.0,2.0,6803484,T Sussum,54.0,
Viral Bhavsar,5974971,7,1.0,56.0,4.0,4,0.0,Ley Hill CC - 2nd XI,119465.0,West Herts CC - 6th XI,302557.0,1.0,6804671,V Bhavsar,42.0,
James Lagdon,4576697,5,0.0,0.0,0.0,3,0.0,Ley Hill CC - 2nd XI,119465.0,Harpenden CC - 6th XI,116317.0,1.0,6804665,J Lagdon,30.0,
Raheel Khan,5402781,6.4,0.0,9.0,3.0,3,0.0,Ley Hill CC - 1st XI,54824.0,Flitwick CC - 3rd XI,20669.0,1.0,6803476,R Khan,40.0,
Jon Humphreys,4944051,8,4.0,13.0,4.0,3,0.0,Ley Hill CC - 2nd XI,119465.0,Berkhamsted CC - Saturday 4th XI,76555.0,1.0,6804661,J Humphreys,48.0,
Adam Gundy,5900485,10,3.0,22.0,1.0,3,0.0,Watton-at-Stone CC - 1st XI,159131.0,Ley Hill CC - 1st XI,54824.0,1.0,6803484,A Gundy,60.0,
J Todd,,7,1.0,25.0,2.0,3,0.0,Soho Cricket Collective - Friendly XI,207493.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074449,J Todd,42.0,
Dan March,4733831,5,0.0,31.0,2.0,3,0.0,Soho Cricket Collective - Friendly XI,207493.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074449,D March,30.0,
Sajid Mahmood,6280079,8,0.0,35.0,2.0,3,0.0,West Herts CC - 6th XI,302557.0,Ley Hill CC - 2nd XI,119465.0,2.0,6804671,S Mahmood,48.0,
Imran X,,6,0.0,36.0,0.0,3,0.0,Chesham Bois CC - Friendly XI,39794.0,Ley Hill CC - Sunday 1st XI,216373.0,1.0,7074453,I X,36.0,
Kabir Rab,4943870,7,0.0,38.0,7.0,3,1.0,Ley Hill CC - Sunday 1st XI,216373.0,Goodwill Wanderers CC - Friendly XI,192284.0,2.0,7074455,K Rab,42.0,
Joe Yerrell,6044911,10,1.0,40.0,3.0,3,1.0,Ley Hill CC - 1st XI,54824.0,Ickleford CC - 2nd XI,58647.0,2.0,6803474,J Yerrell,60.0,
David Kiddie,5582719,7,0.0,42.0,1.0,3,0.0,Watton-at-Stone CC - 1st XI,159131.0,Ley Hill CC - 1st XI,54824.0,1.0,6803484,D Kiddie,42.0,
Richard Peareth,5335234,10,1.0,46.0,4.0,3,0.0,Ickleford CC - 2nd XI,58647.0,Ley Hill CC - 1st XI,54824.0,1.0,6803474,R Peareth,60.0,
Mark Schumann,15786,10,0.0,72.0,1.0,3,0.0,Ickleford CC - 2nd XI,58647.0,Ley Hill CC - 1st XI,54824.0,1.0,6803474,M Schumann,60.0,
Joe Yerrell,6044911,1,0.0,8.0,0.0,2,1.0,Ley Hill CC - Sunday 1st XI,216373.0,Chesham Bois CC - Friendly XI,39794.0,2.0,7074453,J Yerrell,6.0,
Kabir Rab,4943870,3,0.0,8.0,4.0,2,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Soho Cricket Collective - Friendly XI,207493.0,2.0,7074449,K Rab,18.0,
Raheel Khan,5402781,3.4,1.0,13.0,0.0,2,1.0,Ley Hill CC - 1st XI,54824.0,Ickleford CC - 2nd XI,58647.0,2.0,6803474,R Khan,22.0,
Paul Green,1101452,3,0.0,19.0,1.0,2,0.0,Ley Hill CC - Sunday 1st XI,216373.0,Soho Cricket Collective - Friendly XI,207493.0,2.0,7074449,P Green,18.0,
